Ann	name given to women
Barry	a name used for a boy or man, or as a surname
Bel	ancient god
Boer	a person of Dutch descent living in South Africa
Ceres	A Roman Goddess associated with agriculture, Daughter of Saturn
Chile	a latin country
Claus	Traditionally Dutch given name.
Corps	A military organization
Corp	Short for Corporation
Cox	serve as coxswain of a boat
Crays	more then 1 Cray Supercomputer
Czech	from the Czech Republic
Faye	form of faith
Finnish	descended from Finns
Flo	a feminine name
Greece	Mediterranean country.
Harold	Type of man's name
Harry	a male name
Hugh	persons name esp. male
I	Oneself, used to point out narrator in literary works,
I'll	Short form of I will.
Jim	a nickname for James
Kew	famous botanical gardens located in London
Lou	a nickname often used for Louis
Mays	For of all sad words of tongue or pen The saddest are these: ``It might have been.'' --Whittier.    (b) Liberty; permission; allowance.
Mrs.	a married woman's title
Paul	Saint, c. A.D. 67, gentile apostle and missionary.
Pole	someone from Poland
Rome	Italian capital and largest city of Italy
Sikh	monothiestic religion
Sioux	american indian tribe
Sunday	the last day of the weekend, also a day Christian's attend church
Thai	of or pertaining to Thailand
Tun	a big coffin
URL	Location on the internet
Unix	a computer operating system
WACs	female soldiers
Wales	SW Great Britain
Wayne	male name
a	the first letter of the alphabet
accede	agree
accept	to approve
access	a privilege to retrieve something
accessed	to retrieve using a privilege 
assay	to examine
assess	to estimate the value of something
assessed	to estimate the value of something
acts	How someone does something as in "He acts crazy"
ad	advertisement
adapt	to suit to a situation
adopt	to take ownership of
adapts	suits to a situation
adopts	takes ownership of
adapted	changed to suit a situation
adopted	took ownership of
adapter	a converter from one form to another (e.g., power adapter)
adopter	someone who takes ownership of something (e.g., early adopter)
adapting	to change to suit a situation
adopting	to take ownership of something (e.g., adopting a child)
ads	advertisements
add	to combine two things together
adds	increases in numbers
ade	drink made from fruit
ads	advertisements
adverse	opposite, unfavorable
adze	a tool used to dress timbers, with a curved head
aerie	a large bird's home
aero	pertaining to aircraft
aesthetic	a sense of beautiful
affect	to act on
aid	to help
aide	a helper
aids	to help
aides	multiple helpers or assistants
ail	feel under the weather
air	The mixture of gases which surrounds the earth and which we breathe. e.g. I went outside to get some fresh air.
airy	Breezy; light in some manner.
aisle	travelway between structures
ale	a dark, heavy and bitter drink, much like beer
all	The whole of, or whole number of.
allowed	tolerate
alluded	referred to indirectly
allude	refer to indirectly
allusion an indirect reference
allusions indirect references
aloud	high audible pitch
altar	lords table
alter	to make changes
an	one
anecdote	a short amusing story
angle		the space between two connected pieces
angel		being from heavan, a great harp player
antidote	a medicine that counteracts a poison or disease
ant	small bug
ante	poker bet
anti	person opposed to a policy etc.
apposition	being side by side
appraise	to estimate the value of
apprise		to inform or advise
arc	curved line
are	metric unit of measure
ark	large boat
arrow	a slender staff or stick with a wedge at the end, used to pierce
ascent	the upward movement, the act of climbing or traveling up place
assent	to come to the same conclusions
ascetic	one who leads a simple life
attain	to reach or achieve
ate	consumed food
auger	a drill used for making holes in the ground
aught	any part
augur	prophet
aunt	the sister of one's mother or father
auntie	Auntie is a slang form of aunt, referring to the siblings of ones parents.
aural	sense of hearing
auricle	the outside part of the ear
averse	set against
away	elsewhere
awed	in amazement
aweful	Extremely bad or unpleasant; terrible: had an awful day at the office.
aweigh	aweigh  predic. adj. (of an anchor) clear of the bottom.
awful	very unpleasant or poorly done
awl	A pointed instrument used for making holes in wood or leather.
ax	bladed chopping instrument
aye	This word is commonly used by mariners and means yes.
bail	monetary object given to assure a person in custody will return to court at an appointed date
bailed	manually scooped water out of a boat or dinghy
bailee	one who bails
bailer	Someone who scoops water out of a boat.
bailey	The space immediately within the outer wall of a castle or fortress
bailie	a court officer.
bailing	pumping water out of a large area.
bailor	person who entrusts property under a bailment
bait	to allure or tempt; food or poison to capture prey
baited	He baited the mousetrap with cheese.
baiting	To provoke and harass; esp., to harass or torment for sport; as, to bait a bear with dogs; to bait a bull.
baize	green felt-like fabric
bald	having no hair, or no foliage
bale	Hay or other material bundeled for transportation or storage
