abandonment	abandon, leave behind
abatement	abate, to decrease,  become less strong
abduction	abduct, to carry someone off by force
aberration	err, to make an error or a mistake
abolition	abolish, get rid of, make illegal
abomination	abominate, revile
abortion	abort, to terminate
absence		absent
absorption	absorb, suck up
acceleration	accelerate, make be faster
accent	speak, speak
acceptance	accept, take willingly
accommodation	accommodate, allow, be helpful
accompaniment	accompany, go along with
accomplishment	accomplish, do, pull off
accordance	agree, agree
accountability	account, deal with, explain
accounting	account, deal with, explain
accumulation	accumulate, amass
accusation	accuse, accuse of a crime
achievement	achieve, achieve
acknowledgement	acknowledge, admit
acquisition	acquire, get, acquire
acting	act, play a role
action	act, do something
adaptation	adapt, make (more) suitable
adapting	adapt, make (more) suitable
addiction	addict, cause a dependency, as to a drug
addition	add, additional
adjustment	adjust, change (slightly
administration	administer
admission	admit, acknowledge truth
admission	admit, allow to enter
admonition	admonish, persuade
adoption	adopt, take on, follow
advancement	advance, move forward or upward
advent	predict, tell the future
advertisement	advertise, make a commercial pitch
advertising	advertise, make a commercial pitch
affection	like
affiliation	affiliate, to adopt or accept as a member
affirmation	affirm, attest the truth or   validity of some proposition
affliction	afflict, suffer
affordability	afford
agent	catalyze, to initiate change
aging	age, to make or become old or older
agitation	agitate, to upset, disturb
agreement	agree, agree
ailment	ail, be ill
airing	air, cause to be widely visible
allegation	allege, say without proof
alliance	ally, to unite or connect
allocation	allocate, give to, donate
allowance	allow, allocate
allusion	allude, to make an indirect reference
amalgamation	amalgamate, mix, combine
amazement	amaze, cause astonishment
amendment	amend, add to or correct
amenity	benefit, give advantage to
announcement	announce, say for all to hear
antecedent	precede
anticipation	anticipate, expect
appearance	appear, come to be visible
applicability	apply, associate with, work at or on
applicant	apply, ask for
application	apply, ask for
application	apply, associate with, work at or on
application	apply, painting
appointment	appoint, name to a position, hire
appointment	meet, have a date with someone
appreciation	appreciate, increase in value
appreciation	appreciate, esteem, value, have a fondness for
apprehension	dread
appropriation	appropriate, to take possession of
arbitration	arbitrate, judge, decide
argument	argue, provide an argument, say
argument	argue, argue with
ascent	ascend, to rise, go up
asking	ask, ask a favor, ask a request, ask for
asking	ask, buying and selling
aspersion	disparage
assailant	assail, to attack viciously
assassination	assassinate, to murder
assent	agree, agree
assertion	assert, speak up
assessment	assess, to evaluate, appraise
assignment	assign, give, associate with
assistance	assist, help, assist
assistant	assist
association	associate, include in some group
assumption	assume, believe
assumption	assume, acquire
assurance	assure, calm someone's nerves
astonishment	astonish, surprise, astound
atrocity	attack, to make an attack, criticize strongly
attachment	attach, stick, cause to stick
attendance	attend, belong with or at
attendant	attend, belong with or at
attention	attend, belong with or at
attraction	attract, attract, draw near
audience	observe, observe
authority	authorize, ability
authorization	authorize, allow
automation	automate, to make automatic
availability	obtain, available
averaging	average, to amount to or come to an average, compute an average
avoidance	avoid, stay away from
awarding	award, give an award
backing	back, support
balloting	vote
banning	ban, prohibit
bargaining	bargain, to negotiate the terms of agreement
bartering	barter, trade
bashing	bash, to criticize
bastion	protect, shield from danger
batting	bat, close and open eye(s) quickly
batting	bat, bring in runs by hitting a baseball
battlement	defend
bearing	bear, has relation to
bearing	behave, to conduct (oneself) in a specified way
bearing	balance, establish a balance
beginning	begin, start
beheading	behead, remove the head
being		be 
betterment	better, to improve
bickering	bicker, to argue
bidding	bid, auction
bidding	obey, obey, follow the rules
billing	bill, charge a fee
blacklisting	ban
bleeding	bleed, to emit or lose blood, to be wounded
blessing	bless, bless
bombardment	bombard, to attack or assail persistently
bombing	bomb, to attack or damage
booking	hire, initiate employment
booking	reserve, hold back
borrowing	borrow, get temporarily
bottling	bottle, to place in a bottle
breaking	break, break, cause to not be whole
breathing	breathe, suck air
breeding	breed, to cause to reproduce
brewing	brew, create (beer
briefing	brief, give a summary of information
bringing	bring, carry along with
broadcasting	broadcast, to transmit or announce
building	build, construct
burning	burn, cause to) be on fire
buying	buy, purchase
calculation	calculate, calculate, reckon, think  source
calling	call, label
calling	call, summon
calling	call, visit, make use of
cancellation	cancel, cause to be not valid
canning	can, put into tins
cant	sing, sing
capitalization	capitalize, provide with cash value
carping	carp, complain ineffectually
carrying	carry, bring with, have
casting	cast, name, assign a role
ceiling		limit, ensure something stays below a certain level
celebration	celebrate, honor, show respect to
celebration	celebrate, have a party
cessation	cease, stop
changing	change, transform
characterization	characterize, assign a label or attribute
charging	charge, assign a role
cheating	cheat, engage in deceitful practices
choosing	choose, choose, pick
circulation	circulate, cause to) go around
citation	cite, refer to
citation	cite, give legal summons, ticket
clanging	clang, to make a clang
clarification	clarify, make clear(er
classification	classify, assign a label or attribute
claudication	limp, to move or proceed haltingly or unsteadily
clearance	approve, assent to
clearing	clear
clipping	clip, to cut, cut off, or cut out1
clogging	clog, obstruct a passage
clouding	cloud, cause to) be cloudy
coating	coat, cover, apply something to a surface
coercion	coerce, to persuade
cogeneration	generate, create
coincidence	coincide, coincidental
collectability	collect, acquire
