addendum	addenda
alga	algae
alumna	alumnae
alumnus	alumni
analysis	analyses
antenna	antennas,antennae
apparatus	apparatuses
appendix	appendices,appendixes
axis	axes
bacillus	bacilli
bacterium	bacteria
basis	bases
beau	beaux
bison	bison
buffalo	buffalos,buffaloes
bureau	bureaus
bus	busses,buses
cactus	cactuses,cacti
calf	calves
child	children
corps	corps
corpus	corpora,corpuses
crisis	crises
criterion	criteria
curriculum	curricula
datum	data
deer	deer
die	dice
dwarf	dwarfs,dwarves
diagnosis	diagnoses
echo	echoes
elf	elves
ellipsis	ellipses
embargo	embargoes
emphasis	emphases
erratum	errata
fireman	firemen
fish	fish,fishes
focus	focuses
foot	feet
formula	formulas
fungus	fungi,funguses
genus	genera
goose	geese
half	halves
hero	heroes
hippopotamus	hippopotami,hippopotamuses
hoof	hoofs,hooves
hypothesis	hypotheses
index	indices,indexes
knife	knives
leaf	leaves
life	lives
loaf	loaves
louse	lice
man	men
matrix	matrices
means	means
medium	media
memorandum	memoranda
millennium	millenniums,milennia
moose	moose
mosquito	mosquitoes
mouse	mice
nebula	nebulae,nebulas
neurosis	neuroses
nucleus	nuclei
oasis	oases
octopus	octopi,octopuses
ovum	ova
ox	oxen
paralysis	paralyses
parenthesis	parentheses
person	people
phenomenon	phenomena
potato	potatoes
radius	radii,radiuses
scarf	scarfs,scarves
self	selves
series	series
sheep	sheep
shelf	shelves
scissors	scissors
species	species
stimulus	stimuli
stratum	strata
syllabus	syllabi,syllabuses
symposium	symposia,symposiums
synthesis	syntheses
synopsis	synopses
tableau	tableaux
that	those
thesis	theses
thief	thieves
this	these
tomato	tomatoes
tooth	teeth
torpedo	torpedoes
vertebra	vertebrae
veto	vetoes
vita	vitae
watch	watches
wife	wives
wolf	wolves
woman	women
zero	zeros,zeroes
