12 noon	12
12 o'clock noon	12 o'clock
ABS brakes	brakes
ABS braking system	braking system
ACT test	test
Bo Staff	Staff
CD Disc	Disc
CD disc	disc
GOP party	party
GRE exam	exam
HIV virus	virus
Hallah bread	bread
I myself	myself
I personally	personally
ISBN number	number
It is what it is	what it is
LCD display	display
Milky Way galaxy	galaxy
Mount Fujiyama	Mount
PC computer	computer
PIN number	number
Please RSVP	Please
RAM memory	memory
Rio Grande River	River
Rio Grande river	river
SAT test	test
State of New Mexico	State of
State of New York	State of
State of North Carolina	State of
State of North Dakota	State of
State of South Carolona	State of
State of South Dakota	State of
UPC code	code
a pair of twins	a pair of
a.m. in the morning	in the morning
absolute guarantee	absolute
absolutely essential	absolutely
absolutely necessary	absolutely
absolutely sure	absolutely
actual experience	actual
actual facts	actual
add a further	a further
add an additional	an additional
add up	up
added bonus	added
advance forward	forward
advance planning	advance
advance preview	advance
advance reservations	advance
advance warning	advance
affirmative yes	affirmative
aid and abet	aid and
all inclusive	all
all of	of
all-time record	all-time
alongside	side
alongside of	of
alternative choice	choice
always and forever	and forever
amaretto almond	almond
and etc.	and
annual anniversary	annual
anonymous stranger	anonymous
armed gunman	armed
armed gunmen	armed
artificial prosthesis	artificial
as for example	as
as per	as
as to whether	as to
ascend up	up
ask the question	the question
assemble together	together
at a later date	at a, date
at the present time	the, time
at this point in time	in time
attach together	together
autumn season	season
awful bad	awful
bald-headed	-headed
balsa wood	wood
bare naked	bare
basic fundamentals	basic
basic necessities	basic
bento box	box
best ever	ever
blend together	together
boat marina	boat
bouquet of flowers	of flowers
brief cameo	brief
brief in duration	in duration
brief moment	brief
brief summary	brief
bruin bear	bear
burning embers	burning
burning hot	hot
but however	however
but nevertheless	nevertheless
cacophony of sound	of sound
cameo appearance	appearance
cancel out	out
careful scrutiny	careful
cash money	money
cease and desist	and desist
chai tea	tea
circle around	around
circulate around	around
classify into groups	into groups
climb up	up
close proximity	close
close scrutiny	close
closed fist	closed
collaborate together	together
combine together	together
common bond	common
commute back and forth	back-and-forth
compete with each other	with each other
complete monopoly	complete
completely annihilate	completely
completely destroyed	completely
completely eliminate	completely
completely engulfed	completely
completely filled	completely
completely surround	completely
component parts	component
comprises of	of
confer together	together
confused state	state
connect together	together
connect up	up
